Date,Day,Time,Class,Subject,Faculty,Roll No,Location,Term
2026-09-21,Monday,10:30 - 13:00,Clinics (B1/B2/B3),Paediatrics,"Brig Vishal Vishnu Tewari, Dr Suchi Acharya",All,Paed Ward (CHSC),VII
2026-09-22,Tuesday,10:30 - 13:00,Clinics (B1/B2/B3),Paediatrics,"Lt Col Gitanjali Jain, Sqn Ldr Anjali Gautam",All,Paed Ward (CHSC),VII
2026-09-23,Wednesday,08:45 - 09:30,Lecture - Perinatal Asphyxia (PE 20.7),Paediatrics,Brig Vishal Vishnu Tewari,All,NLH Sushruta,VII
2026-09-23,Wednesday,09:30 - 10:15,"SDL - Failure to Thrive (PE 2.1, 2.4)",Paediatrics,Brig Vishal Vishnu Tewari,All,NLH Sushruta,VII
2026-09-23,Wednesday,10:30 - 13:00,Clinics (B1/B2/B3),Paediatrics,"Lt Col Gorav Sharma, Sqn Ldr Anjali Gautam",All,Paed Ward (CHSC),VII
2026-09-24,Thursday,10:30 - 13:00,Clinics (B1/B2/B3),Paediatrics,"Lt Col Reema Solanki, Dr Suchi Acharya",All,Paed Ward (CHSC),VII
2026-09-24,Thursday,14:00 - 15:00,Tutorials - Congestive Cardiac Failure (PE 23.3),Paediatrics,Col H R Ramamurthy,All,NLH Sushruta,VII
2026-09-25,Friday,10:30 - 13:00,Clinics (B1/B2/B3),Paediatrics,"Gp Capt Aradhna Aneja, Sucheta Krishna Menon",All,Paed Ward (CHSC),VII
2026-09-26,Saturday,10:30 - 13:00,Internal assessment,Paediatrics,"Dr Suchi Acharya, Lt Col Pulkit Agarwal, Lt Col Reema Solanki, Sucheta Krishna Menon",All,Paed Ward (CHSC),VII
